ad_id,Has this ad been deleted? Why?,what is the brand?,What is the product?,what is the category of the product?,"Do you believe that this video was sponsored by a commercial brand, public agency (e.g., FIESP/FIEMG/SESI), government agency or an youtuber (famous or not)?","Do you believe this ad employs multimedia (audio, video) or other features in its discourse to attract the attention of children?","Do any well known children character appear on the ad?
",Does this ad advertise a product geared to children?,"Based on your personal beliefs, 
do you think the ad is unsuitable for children?"
4k3o3lFgdJw,,,,,,,,,
ctovzM93z4w,,,,,,,,,
1zalC_Hg1eI,,,,,,,,,
XMX7nJzv8IM,,,,,,,,,
VTCGulAaDh0,,,,,,,,,
l1ERiP8br4E,,,,,,,,,
kqgcm_hAbu0,,,,,,,,,
__jLNkqYKHw,,,,,,,,,
YgOYsfY58U8,,,,,,,,,
PDWWsWHf7Ys,,,,,,,,,
tP7OKISS9o4,,,,,,,,,
HZ367wKExf8,,,,,,,,,
rYbiz7YA-ZY,,,,,,,,,
HmoZrVRTSng,,,,,,,,,
dVQaTZ4489Y,,,,,,,,,
1L7ZUgUHUg0,,,,,,,,,
Je1OWRZSA4o,,,,,,,,,
s_4UP8wDAVk,,,,,,,,,
XmrTiQg7KcE,,,,,,,,,
BlInS7_GSKo,,,,,,,,,
nWaEVt85ZKg,,,,,,,,,
PG-sl_XM-q4,,,,,,,,,
WeBF0LUzh3k,,,,,,,,,
eveDkW1csw4,,,,,,,,,
vEJGdNpFYOU,,,,,,,,,
duczZCGDCOQ,,,,,,,,,
4uYZBcUIpFs,,,,,,,,,
4v6znwj6_9U,,,,,,,,,
5DjNhii-fdQ,,,,,,,,,
m3dT4GZu9eA,,,,,,,,,
uap8cGvomUU,,,,,,,,,
Owr74rwmdV0,,,,,,,,,
GWiq8zfASec,,,,,,,,,
2IeB6E0b-kw,,,,,,,,,
YvKRbwA9ioA,,,,,,,,,
0VO0bk9IolI,,,,,,,,,
cgGy0oJBBlA,,,,,,,,,
5ALFIEAuUQQ,,,,,,,,,
KYJIMtTFKbA,,,,,,,,,
SP_aDlRpO4M,,,,,,,,,
vVif_zfX2AQ,,,,,,,,,
y0CzTotSLAU,,,,,,,,,
qI-StMAp-Yk,,,,,,,,,
0UVa0ZpuA5g,,,,,,,,,
qIf7g8DfwJM,,,,,,,,,
xY04ZelljQA,,,,,,,,,
1YFKpdWa1SQ,,,,,,,,,
sPZsi8jgOWc,,,,,,,,,
CO-NBrKxLvY,,,,,,,,,
nrwh7PiBtC8,,,,,,,,,
FhtWCZguEwk,,,,,,,,,
dMOWWT1tNzA,,,,,,,,,
EI2ng6YqdJM,,,,,,,,,
12rJfIdIOmo,,,,,,,,,
QXMw0dqT5wY,,,,,,,,,
4SCTISiLHm4,,,,,,,,,
r9ozlYnwZSQ,,,,,,,,,
GRXgNLdJlrA,,,,,,,,,
7coGuoLt-RE,,,,,,,,,
e1hIXEClwBQ,,,,,,,,,
n6uPgVgb3oE,,,,,,,,,
wMhJBYWl2Hc,,,,,,,,,
4n9UGjQV0ug,,,,,,,,,
UwzthUZre5g,,,,,,,,,
1-B_yYruKqc,,,,,,,,,
